Formulary_Record_ID,Plan_ID,NDC,Drug_Name,Formulary_Tier,Coverage_Status,Prior_Authorization_Flag,Step_Therapy_Flag,Quantity_Limit_Flag,Effective_Date,End_Date,Source_System
FRM000537,PLAN008,12859564719,Glucophage,1,Covered,N,N,N,2024-05-08,2026-02-22,FormularyManager
FRM000538,PLAN014,59211433737,Prinivil,3,Covered,N,N,Y,2025-09-28,2027-01-30,FormularyManager
FRM000539,PLAN005,21365601254,Lexapro,2,Excluded,N,N,N,2025-01-24,2026-04-27,FormularyManager
FRM000540,PLAN010,60856152434,Aldactone,1,Excluded,N,N,Y,2024-09-18,2026-08-19,FormularyManager
FRM000541,PLAN006,35356811450,UNKNOWN BRAND DRG00980,2,Covered,Y,N,Y,2026-02-05,2027-02-24,FormularyManager
FRM000542,PLAN006,57820791671,Januvia,1,Non-Preferred,N,N,N,2025-06-10,2026-11-02,FormularyManager
FRM000543,PLAN017,26411345874,Prozac,5,Non-Preferred,Y,N,Y,2024-09-27,2025-09-08,FormularyManager
FRM000544,PLAN009,43873981962,Wellbutrin,1,Covered,N,N,N,2024-12-10,2026-07-13,FormularyManager
FRM000545,PLAN002,61023340877,Lipitor,5,Covered,N,N,N,2025-04-04,2027-02-09,FormularyManager
FRM000546,PLAN015,25866246025,Lopressor,1,Excluded,Y,N,N,2024-03-25,2025-06-03,FormularyManager
FRM000547,PLAN007,31923278318,Vibramycin,3,Covered,N,N,N,2025-05-24,2026-04-02,FormularyManager
FRM000548,PLAN004,49501356011,Lopressor,3,Covered,N,Y,N,2024-02-11,2024-10-12,FormularyManager
FRM000549,PLAN019,79775467157,Crestor,1,Non-Preferred,N,N,N,2026-01-27,2027-12-02,FormularyManager
FRM000550,PLAN009,91636397347,Prilosec,5,Covered,N,N,N,2025-12-27,2026-12-24,FormularyManager
FRM000551,PLAN004,19989783912,Januvia,3,Non-Preferred,N,Y,N,2026-05-26,2027-02-16,FormularyManager
FRM000552,PLAN012,32444678260,Humalog,3,Covered,N,N,N,2024-09-30,2026-09-18,FormularyManager
FRM000553,PLAN012,83261389024,Synthroid,6,Covered,Y,Y,N,2025-08-13,2026-06-06,FormularyManager
FRM000554,PLAN002,67115974246,Lexapro,3,Non-Preferred,Y,N,N,2025-01-14,2026-04-24,FormularyManager
FRM000555,PLAN011,36527120523,Prilosec,3,Covered,Y,Y,Y,2025-06-05,2026-03-23,FormularyManager
FRM000556,PLAN007,85922868666,Crestor,4,Excluded,Y,N,N,2024-10-28,2026-05-15,FormularyManager
FRM000557,PLAN014,19998557234,Cozaar,3,Covered,N,N,N,2024-11-15,2025-05-19,FormularyManager
FRM000558,PLAN004,32829657664,Ozempic,3,Covered,N,N,N,2025-07-18,2026-04-07,FormularyManager
FRM000559,PLAN015,32305341731,Plavix,2,Covered,Y,N,N,2025-09-24,2027-09-10,FormularyManager
FRM000560,PLAN009,23709808766,Glucophage,5,Covered,N,N,N,2025-03-08,2027-01-03,FormularyManager
FRM000561,PLAN011,31265213479,Cymbalta,9,Non-Preferred,N,N,N,2025-09-12,2026-05-06,FormularyManager
FRM000562,PLAN020,96269476252,Cozaar,1,Covered,N,N,Y,2024-06-23,2025-02-17,FormularyManager
FRM000563,PLAN010,35847675077,Cozaar,1,Covered,N,N,N,2025-03-05,2027-02-12,FormularyManager
FRM000564,PLAN006,29398974548,Lopressor,5,Covered,Y,Y,Y,2025-11-26,2027-06-19,FormularyManager
FRM000565,PLAN005,62579571575,Prinivil,5,Covered,N,N,N,2025-02-19,2027-01-18,FormularyManager
FRM000566,PLAN019,41935957662,Synthroid,1,Covered,N,N,N,2025-05-27,2027-03-29,FormularyManager
FRM000567,PLAN011,44518564169,Coreg,3,Covered,N,N,Y,2025-07-14,2026-12-22,FormularyManager
FRM000568,PLAN002,81808216148,Lopressor,5,Covered,N,N,N,2025-02-03,2026-02-20,FormularyManager
FRM000569,PLAN007,48632631955,Protonix,4,Covered,N,N,N,2024-04-21,2025-07-03,FormularyManager
FRM000570,PLAN020,26851855697,Coreg,1,Non-Preferred,N,N,N,2024-07-15,2026-07-04,FormularyManager
FRM000571,PLAN016,92965682838,Wellbutrin,5,Covered,Y,N,N,2026-01-09,2027-08-20,FormularyManager
FRM000572,PLAN001,98610652597,Prinivil,4,Covered,N,Y,Y,2024-05-31,2025-07-06,FormularyManager
FRM000573,PLAN013,97074469738,Wellbutrin,3,Non-Preferred,N,N,N,2025-03-27,2026-10-18,FormularyManager
FRM000574,PLAN008,78929224734,Norvasc,4,Covered,N,Y,N,2025-06-06,2027-04-04,FormularyManager
FRM000575,PLAN004,88756957596,Cymbalta,2,Non-Preferred,Y,N,N,2026-05-13,2027-01-18,FormularyManager
FRM000576,PLAN006,66887309527,Microzide,5,Excluded,Y,N,N,2025-06-12,2026-12-29,FormularyManager
FRM000577,PLAN006,40504965642,Vibramycin,5,Covered,N,N,N,2024-12-04,2025-11-13,FormularyManager
FRM000578,PLAN013,14030276734,Cymbalta,2,Non-Preferred,N,N,N,2024-09-02,2025-03-01,FormularyManager
FRM000579,PLAN017,57775544235,Zoloft,3,Covered,N,N,N,2026-02-28,2027-10-04,FormularyManager
FRM000580,PLAN014,67080423748,Lantus,5,Non-Preferred,Y,N,N,2025-12-02,2027-11-24,FormularyManager
FRM000581,PLAN015,40895504647,Humalog,3,Non-Preferred,N,N,Y,2025-10-08,2026-12-13,FormularyManager
FRM000582,PLAN013,40842594127,Eliquis,5,Covered,N,N,N,2025-09-24,2026-12-08,FormularyManager
FRM000583,PLAN015,11605697119,Lipitor,2,Covered,Y,N,Y,2026-02-22,2027-10-11,FormularyManager
FRM000584,PLAN013,44531515535,Jardiance,6,Covered,N,N,N,2025-04-21,2026-05-12,FormularyManager
FRM000585,PLAN009,35516352970,Cymbalta,2,Excluded,N,N,N,2024-05-05,2026-03-13,FormularyManager
FRM000586,PLAN003,76216784973,Protonix,1,Covered,N,N,N,2024-03-14,2024-11-03,FormularyManager
FRM000587,PLAN005,26004482228,Vibramycin,3,Covered,N,N,N,2025-11-07,2027-07-08,FormularyManager
FRM000588,PLAN007,54054126339,Vibramycin,5,Covered,N,N,Y,2024-08-11,2025-05-26,FormularyManager
FRM000589,PLAN005,42730843510,Lexapro,1,Covered,N,N,N,2025-11-15,2027-11-13,FormularyManager
FRM000590,PLAN005,41115163443,Zoloft,3,Covered,Y,N,Y,2024-03-06,2024-12-26,FormularyManager
FRM000591,PLAN004,19606146745,Microzide,4,Covered,N,N,N,2025-02-02,2026-05-04,FormularyManager
FRM000592,PLAN008,73418540749,Cymbalta,1,Non-Preferred,Y,N,N,2026-04-08,2027-10-07,FormularyManager
FRM000593,PLAN013,47958975815,Lipitor,5,Covered,Y,N,Y,2024-05-07,2025-05-29,FormularyManager
FRM000594,PLAN006,52812397130,Ozempic,3,Non-Preferred,N,N,N,2025-04-02,2026-05-14,FormularyManager
FRM000595,PLAN002,92043205735,Ozempic,4,Covered,N,Y,N,2024-07-27,2025-06-09,FormularyManager
FRM000596,PLAN019,37173563991,Lasix,3,Covered,N,N,N,2026-02-28,2026-09-21,FormularyManager
FRM000597,PLAN001,80745561821,FORMULARY NAME MISMATCH,4,Covered,N,N,N,2025-05-31,2027-02-06,FormularyManager
FRM000598,PLAN011,25951181670,Prilosec,3,Covered,N,N,N,2025-08-02,2027-07-18,FormularyManager
FRM000599,PLAN018,85778839614,Ventolin,3,Covered,N,N,Y,2024-06-20,2026-03-10,FormularyManager
FRM000600,PLAN017,51167339278,Ventolin,3,Covered,Y,N,N,2025-03-22,2026-10-01,FormularyManager
FRM000601,PLAN008,86445320315,Eliquis,4,Covered,N,Y,Y,2026-03-25,2027-11-06,FormularyManager
FRM000602,PLAN009,60247897621,Lopressor,5,Covered,N,N,N,2025-04-21,2026-02-03,FormularyManager
FRM000603,PLAN011,98323115551,Lopressor,1,Covered,N,N,N,2026-03-25,2027-06-15,FormularyManager
FRM000604,PLAN009,81267869985,Aldactone,3,Excluded,Y,N,N,2024-04-12,2025-01-29,FormularyManager
FRM000605,PLAN004,11713731824,Lopressor,3,Covered,N,N,N,2024-05-28,2025-12-23,FormularyManager
FRM000606,PLAN020,96282694513,Microzide,1,Covered,N,N,N,2024-11-18,2025-10-14,FormularyManager
FRM000607,PLAN014,95701180452,Neurontin,5,Non-Preferred,N,N,Y,2024-04-21,2024-10-20,FormularyManager
FRM000608,PLAN013,38721413264,Norvasc,1,Covered,N,N,N,2026-02-21,2027-09-13,FormularyManager
FRM000609,PLAN008,42374213026,Plavix,4,Covered,N,N,Y,2025-03-17,2026-01-03,FormularyManager
FRM000610,PLAN009,10405956455,Plavix,5,Covered,N,N,N,2024-12-07,2026-11-21,FormularyManager
FRM000611,PLAN003,85778839614,Ventolin,2,Covered,N,N,N,2025-01-02,2025-07-19,FormularyManager
FRM000612,PLAN004,31620645567,Neurontin,5,Covered,N,N,Y,2024-09-26,2025-08-30,FormularyManager
FRM000613,PLAN007,96515232917,Norvasc,4,Covered,Y,N,N,2025-07-11,2026-11-26,FormularyManager
FRM000614,PLAN017,18554568464,Cozaar,5,Covered,Y,N,N,2024-12-11,2025-09-18,FormularyManager
FRM000615,PLAN004,37158569890,Aldactone,3,Non-Preferred,N,N,N,2024-09-21,2025-05-01,FormularyManager
FRM000616,PLAN016,63116718685,Prilosec,1,Non-Preferred,N,N,N,2024-10-16,2025-11-29,FormularyManager
FRM000617,PLAN004,17204851877,Lexapro,5,Covered,N,N,Y,2025-12-30,2026-07-27,FormularyManager
FRM000618,PLAN011,86802579865,Ventolin,3,Non-Preferred,N,N,N,2024-12-08,2025-09-25,FormularyManager
FRM000619,PLAN003,89918102779,Humalog,2,Covered,Y,N,Y,2024-02-02,2025-07-16,FormularyManager
FRM000620,PLAN013,92375297554,Lipitor,5,Covered,Y,Y,N,2026-01-16,2026-07-24,FormularyManager
FRM000621,PLAN020,17997612230,Zoloft,4,Covered,N,N,N,2024-05-31,2026-02-18,FormularyManager
FRM000622,PLAN012,89292409434,Aldactone,1,Covered,N,N,N,2024-09-01,2025-07-18,FormularyManager
FRM000623,PLAN008,61102807993,Humalog,2,Non-Preferred,N,N,N,2026-04-19,2027-08-13,FormularyManager
FRM000624,PLAN008,33502745180,Prinivil,1,Covered,Y,Y,N,2024-09-25,2026-09-19,FormularyManager
FRM000625,PLAN003,69166455424,Lipitor,3,Covered,Y,Y,Y,2024-01-12,2024-12-16,FormularyManager
FRM000626,PLAN006,19352931491,FORMULARY NAME MISMATCH,3,Non-Preferred,N,N,N,2024-03-16,2025-09-21,FormularyManager
FRM000627,PLAN019,89789879626,Eliquis,2,Covered,N,N,N,2025-04-19,2026-07-13,FormularyManager
FRM000628,PLAN003,79740234754,Ventolin,4,Covered,N,N,N,2025-04-03,2026-04-30,FormularyManager
FRM000629,PLAN002,57892185137,Singulair,4,Covered,N,N,N,2025-12-04,2026-08-30,FormularyManager
FRM000630,PLAN011,24945550574,Protonix,1,Covered,Y,N,Y,2025-01-13,2026-01-14,FormularyManager
FRM000631,PLAN011,21421615389,Lasix,2,Covered,N,N,Y,2025-09-18,2027-04-17,FormularyManager
FRM000632,PLAN002,70149202243,Neurontin,2,Non-Preferred,N,N,N,2026-02-12,2027-08-18,FormularyManager
FRM000633,PLAN016,69207755847,Crestor,3,Covered,N,N,N,2026-03-20,2026-11-15,FormularyManager
FRM000634,PLAN012,92373928763,Microzide,2,Covered,N,N,Y,2025-08-18,2026-08-28,FormularyManager
FRM000635,PLAN003,13245368747,Norvasc,5,Covered,Y,N,N,2025-04-06,2027-01-24,FormularyManager
FRM000636,PLAN001,26004482228,Vibramycin,4,Non-Preferred,N,N,N,2025-11-02,2027-08-10,FormularyManager
FRM000637,PLAN005,28814780756,Microzide,2,Covered,N,N,Y,2024-10-02,2025-11-02,FormularyManager
FRM000638,PLAN003,79510138828,Lasix,4,Covered,N,Y,N,2025-09-28,2026-04-24,FormularyManager
FRM000639,PLAN009,98558768029,Crestor,2,Covered,N,N,Y,2026-02-06,2027-03-11,FormularyManager
FRM000640,PLAN020,73362282174,Protonix,4,Covered,N,N,N,2026-04-13,2028-01-25,FormularyManager
FRM000641,PLAN016,59783584950,Humalog,1,Covered,N,N,N,2026-04-24,2027-01-10,FormularyManager
FRM000642,PLAN013,37195598538,Crestor,1,Non-Preferred,N,Y,N,2026-04-09,2028-02-11,FormularyManager
FRM000643,PLAN003,87507818254,Zoloft,3,Covered,N,N,N,2025-08-01,2026-10-02,FormularyManager
FRM000644,PLAN008,40842594127,Eliquis,5,Non-Preferred,N,N,N,2024-05-16,2025-01-27,FormularyManager
FRM000645,PLAN010,87455776031,Norvasc,2,Covered,N,N,N,2024-10-09,2026-07-22,FormularyManager
FRM000646,PLAN011,44983140537,Norvasc,1,Non-Preferred,N,N,Y,2024-06-15,2026-02-04,FormularyManager
FRM000647,PLAN008,59002120957,Cozaar,5,Covered,N,Y,N,2025-02-17,2026-10-05,FormularyManager
FRM000648,PLAN012,33167573583,Norvasc,4,Covered,N,N,Y,2024-12-16,2026-07-24,FormularyManager
FRM000649,PLAN010,55655209298,Coreg,1,Covered,N,N,N,2024-08-25,2025-07-15,FormularyManager
FRM000650,PLAN019,70444329131,Jardiance,3,Non-Preferred,N,N,Y,2024-03-23,2026-01-06,FormularyManager
FRM000651,PLAN004,58257248865,Synthroid,4,Covered,N,N,N,2024-03-30,2025-05-30,FormularyManager
FRM000652,PLAN013,98323115551,Lopressor,2,Covered,N,N,N,2026-03-24,2027-11-20,FormularyManager
FRM000653,PLAN020,57089942274,Cymbalta,2,Covered,Y,N,N,2024-07-08,2025-06-19,FormularyManager
FRM000654,PLAN018,24514910454,Singulair,2,Covered,N,N,N,2024-02-15,2024-12-16,FormularyManager
FRM000655,PLAN004,10424211436,Singulair,4,Covered,Y,N,Y,2026-03-27,2027-11-11,FormularyManager
FRM000656,PLAN018,75313622617,Plavix,2,Covered,N,N,N,2024-05-15,2025-09-11,FormularyManager
FRM000657,PLAN007,61425622844,Januvia,2,Covered,Y,N,N,2025-11-19,2027-11-13,FormularyManager
FRM000658,PLAN016,11107186150,Plavix,3,Covered,N,Y,Y,2025-05-13,2026-08-20,FormularyManager
FRM000659,PLAN008,25092429310,Jardiance,0,Covered,Y,N,N,2024-11-10,2025-08-22,FormularyManager
FRM000660,PLAN016,20775807220,Ventolin,2,Covered,N,N,N,2024-07-16,2025-02-09,FormularyManager
FRM000661,PLAN005,25964239840,Wellbutrin,5,Covered,N,N,N,2025-07-28,2027-07-09,FormularyManager
FRM000662,PLAN019,82475457780,Microzide,1,Excluded,N,Y,N,2025-07-27,2027-06-22,FormularyManager
FRM000663,PLAN004,96959249363,Cymbalta,5,Covered,N,Y,N,2025-07-10,2026-11-17,FormularyManager
FRM000664,PLAN001,12914717458,Singulair,5,Non-Preferred,N,N,N,2024-09-17,2026-05-13,FormularyManager
FRM000665,PLAN018,52583690494,Lipitor,1,Excluded,N,N,Y,2025-07-28,2026-02-25,FormularyManager
FRM000666,PLAN001,80264600050,Crestor,5,Covered,N,N,N,2024-04-09,2025-12-16,FormularyManager
FRM000667,PLAN005,37158569890,Aldactone,1,Covered,N,N,N,2025-04-25,2027-01-04,FormularyManager
FRM000668,PLAN009,76744433751,Ozempic,3,Non-Preferred,N,N,N,2025-02-28,2026-12-21,FormularyManager
FRM000669,PLAN018,12250369486,Cymbalta,1,Covered,N,Y,N,2024-09-03,2026-07-28,FormularyManager
FRM000670,PLAN008,95046320178,Singulair,5,Covered,N,N,N,2024-07-20,2026-03-12,FormularyManager
FRM000671,PLAN003,82475457780,Microzide,2,Covered,N,N,N,2024-04-20,2025-03-12,FormularyManager
FRM000672,PLAN001,47958975815,Lipitor,3,Covered,N,N,N,2024-08-06,2026-04-10,FormularyManager
FRM000673,PLAN010,56133530192,Wellbutrin,3,Covered,Y,N,N,2025-06-11,2026-06-24,FormularyManager
FRM000674,PLAN014,47499455138,Crestor,5,Covered,N,N,Y,2026-01-29,2027-12-04,FormularyManager
FRM000675,PLAN006,67041360337,Coreg,4,Non-Preferred,N,N,N,2024-06-08,2026-05-27,FormularyManager
FRM000676,PLAN008,45479462789,Lopressor,5,Covered,N,Y,N,2025-03-06,2026-03-29,FormularyManager
FRM000677,PLAN018,22366963895,Neurontin,1,Covered,N,N,N,2024-07-23,2025-08-30,FormularyManager
FRM000678,PLAN014,23885768970,Microzide,5,Covered,N,N,N,2025-05-24,2026-04-05,FormularyManager
FRM000679,PLAN015,18139712589,Eliquis,5,Covered,Y,N,N,2024-01-04,2025-03-24,FormularyManager
FRM000680,PLAN012,41217651162,Prilosec,3,Covered,N,N,N,2025-03-28,2027-01-20,FormularyManager
FRM000681,PLAN001,44872908135,Cymbalta,4,Covered,Y,N,N,2026-04-08,2027-06-04,FormularyManager
FRM000682,PLAN010,63764194169,Jardiance,4,Excluded,N,N,N,2025-08-02,2026-02-26,FormularyManager
FRM000683,PLAN014,21322844418,Jardiance,1,Covered,Y,N,N,2024-09-29,2025-09-04,FormularyManager
FRM000684,PLAN016,24931475984,Cozaar,3,Covered,Y,N,N,2024-10-12,2025-11-25,FormularyManager
FRM000685,PLAN008,20729975921,Lipitor,5,Covered,N,N,Y,2026-01-18,2026-08-31,FormularyManager
FRM000686,PLAN007,62840208185,Crestor,4,Covered,N,N,N,2025-07-09,2026-06-29,FormularyManager
FRM000687,PLAN019,31553546728,Lasix,4,Covered,N,N,N,2025-06-19,2026-03-22,FormularyManager
FRM000688,PLAN010,27539452320,Eliquis,9,Non-Preferred,N,N,N,2024-11-05,2026-10-28,FormularyManager
FRM000689,PLAN009,98076393354,Neurontin,4,Excluded,N,N,Y,2025-08-22,2026-10-15,FormularyManager
FRM000690,PLAN004,42374213026,Plavix,1,Non-Preferred,N,N,Y,2025-01-07,2025-11-17,FormularyManager
FRM000691,PLAN010,31028872249,Prinivil,3,Non-Preferred,N,N,N,2025-06-16,2026-07-31,FormularyManager
FRM000692,PLAN008,38999870858,Jardiance,5,Covered,N,N,N,2025-03-21,2026-12-01,FormularyManager
FRM000693,PLAN008,84458290728,Humalog,2,Non-Preferred,N,N,N,2025-07-12,2027-04-24,FormularyManager
FRM000694,PLAN016,82718305778,Prilosec,3,Non-Preferred,N,N,N,2025-10-13,2027-09-04,FormularyManager
FRM000695,PLAN004,37677228163,Prilosec,5,Covered,Y,N,N,2025-07-11,2027-05-27,FormularyManager
FRM000696,PLAN010,47734931755,Norvasc,2,Excluded,N,N,N,2024-04-21,2026-01-10,FormularyManager
FRM000697,PLAN012,86890799081,Norvasc,2,Covered,N,N,N,2024-08-31,2025-08-26,FormularyManager
FRM000698,PLAN015,45970496271,Synthroid,4,Covered,N,N,Y,2026-04-09,2026-12-22,FormularyManager
FRM000699,PLAN014,48632631955,Protonix,4,Non-Preferred,N,N,N,2024-10-22,2026-03-01,FormularyManager
FRM000700,PLAN011,90728447630,Ventolin,3,Covered,N,N,Y,2024-01-09,2025-05-19,FormularyManager
FRM000701,PLAN007,76004568133,Ozempic,1,Covered,Y,N,Y,2024-10-12,2026-04-12,FormularyManager
FRM000702,PLAN014,63943747887,Synthroid,1,Covered,Y,N,N,2024-06-18,2025-06-28,FormularyManager
FRM000703,PLAN005,72668546049,Ventolin,2,Covered,N,N,Y,2024-08-24,2025-09-25,FormularyManager
FRM000704,PLAN009,22313207361,Jardiance,2,Covered,N,N,N,2026-04-21,2027-11-14,FormularyManager
FRM000705,PLAN019,61966238250,Neurontin,2,Covered,N,N,Y,2024-02-29,2025-06-05,FormularyManager
FRM000706,PLAN014,20972530362,Cymbalta,5,Covered,N,N,Y,2024-05-04,2024-11-19,FormularyManager
FRM000707,PLAN003,68762387095,Eliquis,1,Covered,N,N,Y,2024-07-24,2026-07-03,FormularyManager
FRM000708,PLAN013,73362282174,Protonix,2,Covered,N,N,N,2024-04-15,2025-11-26,FormularyManager
FRM000709,PLAN017,39764892488,Synthroid,2,Non-Preferred,N,N,N,2024-09-22,2025-04-28,FormularyManager
FRM000710,PLAN015,12664783645,Singulair,2,Covered,N,N,N,2025-09-02,2026-11-09,FormularyManager
FRM000711,PLAN004,42883174115,Zoloft,5,Covered,N,N,N,2025-09-08,2026-10-27,FormularyManager
FRM000712,PLAN011,70221820796,Lipitor,4,Covered,N,N,N,2024-10-31,2025-12-06,FormularyManager
FRM000713,PLAN005,86680432854,Norvasc,5,Covered,Y,N,Y,2024-05-14,2025-10-03,FormularyManager
FRM000714,PLAN003,45865729198,Cymbalta,3,Covered,N,N,N,2024-09-17,2026-08-11,FormularyManager
FRM000715,PLAN002,40972267118,Lantus,2,Non-Preferred,N,N,N,2026-02-08,2027-06-22,FormularyManager
FRM000716,PLAN019,55406762387,Synthroid,3,Covered,N,N,N,2024-08-03,2025-04-19,FormularyManager
FRM000717,PLAN012,72171503347,Cozaar,5,Covered,N,N,N,2024-10-30,2026-04-08,FormularyManager
FRM000718,PLAN007,79775467157,Crestor,2,Covered,N,Y,N,2026-01-15,2026-10-10,FormularyManager
FRM000719,PLAN016,13289945916,Plavix,1,Covered,N,N,N,2026-03-15,2026-10-30,FormularyManager
FRM000720,PLAN012,65966563490,Ozempic,5,Covered,N,Y,Y,2024-07-25,2025-11-21,FormularyManager
FRM000721,PLAN007,12859564719,Glucophage,2,Covered,N,N,N,2025-01-12,2026-06-24,FormularyManager
FRM000722,PLAN001,60055684146,Neurontin,2,Covered,N,Y,N,2025-06-16,2026-04-29,FormularyManager
FRM000723,PLAN016,83727139018,Vibramycin,3,Covered,N,N,N,2025-02-18,2026-07-27,FormularyManager
FRM000724,PLAN007,91233214850,Eliquis,3,Non-Preferred,N,N,N,2024-03-29,2025-08-19,FormularyManager
FRM000725,PLAN003,74039272223,Prinivil,1,Covered,Y,N,N,2025-09-19,2027-05-06,FormularyManager
FRM000726,PLAN001,89307815129,Vibramycin,3,Covered,N,N,Y,2025-03-13,2025-09-12,FormularyManager
FRM000727,PLAN003,98361822465,Lopressor,3,Covered,N,N,N,2025-05-08,2026-10-02,FormularyManager
FRM000728,PLAN006,19771699369,Lantus,3,,Y,N,N,2025-07-15,2027-04-13,FormularyManager
FRM000729,PLAN008,55753696537,Zoloft,5,Non-Preferred,N,N,Y,2025-09-25,2027-01-15,FormularyManager
FRM000730,PLAN006,66887309527,Microzide,4,Covered,N,N,N,2026-04-21,2027-11-12,FormularyManager
FRM000731,PLAN004,44198336110,Humalog,2,Covered,N,N,Y,2024-02-27,2026-01-31,FormularyManager
FRM000732,PLAN004,33745564480,Prozac,5,Covered,N,N,N,2025-10-18,2026-09-21,FormularyManager
FRM000733,PLAN020,41577609162,Vibramycin,5,Covered,N,N,Y,2024-08-27,2025-07-02,FormularyManager
FRM000734,PLAN011,58914968790,Plavix,3,Non-Preferred,Y,N,N,2025-05-15,2026-07-29,FormularyManager
FRM000735,PLAN020,19307837771,Protonix,5,Covered,N,N,Y,2025-01-12,2025-10-14,FormularyManager
FRM000736,PLAN002,27306655329,Coreg,5,Covered,N,N,N,2024-05-08,2025-03-10,FormularyManager
FRM000737,PLAN004,52004247373,Eliquis,1,Non-Preferred,N,N,Y,2025-11-24,2026-09-04,FormularyManager
FRM000738,PLAN004,21424930580,Glucophage,3,Covered,Y,N,N,2025-06-25,2026-09-14,FormularyManager
FRM000739,PLAN008,14612321460,Singulair,5,Covered,N,N,Y,2026-03-07,2027-04-03,FormularyManager
FRM000740,PLAN014,67141494586,Neurontin,2,Non-Preferred,N,N,N,2025-12-07,2027-02-10,FormularyManager
FRM000741,PLAN005,57675334230,Protonix,5,Covered,N,N,N,2024-10-08,2025-11-26,FormularyManager
FRM000742,PLAN003,99918121569,Januvia,1,Covered,N,N,N,2026-02-27,2026-09-04,FormularyManager
FRM000743,PLAN008,54348747469,Cozaar,1,Covered,N,N,Y,2025-07-05,2026-08-13,FormularyManager
FRM000744,PLAN018,56356748535,FORMULARY NAME MISMATCH,2,Covered,N,Y,N,2024-08-01,2025-04-02,FormularyManager
FRM000745,PLAN006,29586954162,Synthroid,5,Non-Preferred,Y,N,N,2025-11-06,2026-08-25,FormularyManager
FRM000746,PLAN017,27990184869,Aldactone,5,Covered,N,N,Y,2024-09-12,2026-02-01,FormularyManager
FRM000747,PLAN005,51057281520,Singulair,4,Covered,N,Y,Y,2024-09-07,2025-06-18,FormularyManager
FRM000748,PLAN012,21904569624,Wellbutrin,3,Covered,N,N,N,2026-04-17,2027-09-14,FormularyManager
FRM000749,PLAN006,63128504045,Lipitor,2,Covered,N,N,N,2025-05-01,2025-12-20,FormularyManager
FRM000750,PLAN009,51269588679,Zoloft,2,Non-Preferred,N,N,N,2024-10-12,2025-05-12,FormularyManager
FRM000751,PLAN011,77783196614,Zoloft,2,Non-Preferred,N,Y,N,2025-06-20,2027-02-14,FormularyManager
FRM000752,PLAN011,30333466448,Lopressor,2,Covered,N,N,N,2024-08-19,2026-05-11,FormularyManager
FRM000753,PLAN017,63116718685,Prilosec,1,Covered,N,N,N,2026-03-20,2027-11-01,FormularyManager
FRM000754,PLAN015,98076393354,Neurontin,5,Covered,Y,N,Y,2024-05-12,2025-11-04,FormularyManager
FRM000755,PLAN008,69710507219,Prilosec,1,Non-Preferred,Y,Y,N,2025-05-30,2026-05-22,FormularyManager
FRM000756,PLAN010,85922868666,Crestor,1,Non-Preferred,Y,Y,N,2026-01-01,2027-09-23,FormularyManager
FRM000757,PLAN013,31559714166,Lantus,5,Covered,N,Y,N,2024-05-11,2026-03-12,FormularyManager
FRM000758,PLAN005,99532189053,Neurontin,4,Covered,N,N,N,2024-12-14,2026-07-23,FormularyManager
FRM000759,PLAN008,74966631014,Cozaar,5,Covered,N,N,N,2025-02-22,2026-04-10,FormularyManager
FRM000760,PLAN015,49169824284,Crestor,5,Covered,N,N,N,2026-02-22,2026-09-05,FormularyManager
FRM000761,PLAN009,88689159412,Synthroid,2,Covered,N,N,N,2025-11-25,2026-09-23,FormularyManager
FRM000762,PLAN006,65812527931,Microzide,5,Covered,N,N,N,2025-10-31,2026-10-25,FormularyManager
FRM000763,PLAN005,26911839819,Zoloft,1,Covered,N,Y,Y,2024-07-23,2025-08-25,FormularyManager
FRM000764,PLAN002,76841912411,Neurontin,0,Covered,Y,N,Y,2026-02-25,2027-09-04,FormularyManager
FRM000765,PLAN008,11605697119,Lipitor,4,Covered,Y,N,N,2024-11-20,2025-10-31,FormularyManager
FRM000766,PLAN013,50757578276,Zoloft,5,Excluded,N,N,Y,2024-04-15,2026-01-13,FormularyManager
FRM000767,PLAN015,22287685065,Wellbutrin,3,Non-Preferred,N,N,N,2024-03-25,2026-01-15,FormularyManager
FRM000768,PLAN002,45395582883,Prinivil,1,Non-Preferred,Y,N,N,2026-04-28,2027-05-03,FormularyManager
FRM000769,PLAN005,14904163164,Eliquis,5,Covered,N,N,N,2024-05-12,2025-08-07,FormularyManager
FRM000770,PLAN019,94421963775,Lipitor,2,Excluded,N,Y,N,2024-01-23,2025-12-10,FormularyManager
FRM000771,PLAN017,97142643090,Aldactone,1,Covered,N,Y,N,2025-06-06,2027-01-13,FormularyManager
FRM000772,PLAN005,52800745415,Microzide,2,Non-Preferred,N,N,N,2024-02-21,2026-01-20,FormularyManager
FRM000773,PLAN020,14612321460,Singulair,5,Covered,N,N,N,2024-01-15,2025-12-01,FormularyManager
FRM000774,PLAN015,31265213479,Cymbalta,3,Covered,N,N,N,2025-01-21,2025-11-04,FormularyManager
FRM000775,PLAN014,39764892488,Synthroid,5,Non-Preferred,N,N,Y,2024-11-10,2026-01-12,FormularyManager
FRM000776,PLAN004,60986106546,Singulair,3,Covered,Y,N,N,2025-03-10,2026-09-06,FormularyManager
FRM000777,PLAN015,40802338292,Januvia,1,Covered,N,N,N,2025-11-21,2026-05-23,FormularyManager
